"","sampleid","masterid","sampledate","year","fieldreplicate","csci","latitude","longitude","county","COMID","geometry","Max_Wkly_Mean_StreamT","Max_Wkl_Max_StreamT","Min_Wkl_Min_StreamT","Max_Wkl_Rng_StreamT","Mean_Wkl_Rng_StreamT","Max_Wkl_Max_StreamT_grt_30_"
"100","SMC01151_06172009_BMI_RWB_1","SMC01151","2009-06-17 00:00:00",2009,1,0.59794632,34.3723,-118.97196,"Ventura",948070358,c(-118.97196, 34.3723),25.5021320758025,29.8928077490883,15.63102441082,12.7860607486485,8.37933772279147,0
"101","SMC01164_06242011_BMI_RWB_1","SMC01164","2011-06-24 00:00:00",2011,1,0.97016379,34.35078,-118.57968,"Los Angeles",17574979,c(-118.57968, 34.35078),20.9561926453366,29.9912289424455,9.80116154597375,17.3282571153589,14.4209689506731,0
"102","SMC01164_07222011_BMI_RWB_1","SMC01164","2011-07-22 00:00:00",2011,1,0.59560682,34.35078,-118.57968,"Los Angeles",17574979,c(-118.57968, 34.35078),20.9561926453366,29.9912289424455,9.80116154597375,17.3282571153589,14.4209689506731,0
"103","SMC01172_06242009_BMI_RWB_1","SMC01172","2009-06-24 00:00:00",2009,1,0.81887251,34.0816,-118.85826,"Los Angeles",20365027,c(-118.85826, 34.0816),20.2693725051425,31.5971509038335,11.2885188002095,18.7078876293082,14.7973902008633,24
"104","SMC01196_07142010_BMI_RWB_1","SMC01196","2010-07-14 00:00:00",2010,1,0.76696929,34.27835,-118.02952,"Los Angeles",22514614,c(-118.02952, 34.27835),20.4022030845067,25.9678054467408,9.08175382367057,14.6709541920817,10.2930292189376,0
"105","SMC01215_07132011_BMI_RWB_1","SMC01215","2011-07-13 00:00:00",2011,1,0.8678092,34.33968,-119.06784,"Ventura",17573665,c(-119.06784, 34.33968),22.8096584196881,27.0718760423813,14.3427066137812,11.8683531123244,8.14981568019678,0
"106","SMC01248_07262011_BMI_RWB_1","SMC01248","2011-07-26 00:00:00",2011,1,1.07220705,34.25895,-117.74499,"Los Angeles",22522781,c(-117.74499, 34.25895),23.5972608939257,29.8673428264426,9.64198736292816,16.0724163289617,12.5559683774611,0
"107","SMC01260_07162012_BMI_RWB_1","SMC01260","2012-07-16 00:00:00",2012,1,0.50363132,34.06502,-117.97473,"Los Angeles",22524847,c(-117.97473, 34.06502),22.3875830754505,35.0674634989611,13.3004834696489,18.3344033798426,15.0051818761422,99
"108","SMC01278_06172009_BMI_RWB_MCM_1","SMC01278","2009-06-17 00:00:00",2009,1,0.43424586,33.82099,-118.06645,"Los Angeles",22524991,c(-118.06645, 33.82099),20.966654377053,34.5858824729508,13.6271679511372,20.3346414395739,16.0448879893083,131
"109","SMC01320_06072010_BMI_RWB_1","SMC01320","2010-06-07 00:00:00",2010,1,0.60113138,34.29856,-118.25082,"Los Angeles",22515726,c(-118.25082, 34.29856),22.5564379249824,28.7863378788583,11.3071851668929,15.46828120405,11.1707252977438,0
"110","SMC01358_06212011_BMI_RWB_1","SMC01358","2011-06-21 00:00:00",2011,1,0.39631683,33.90965,-118.24673,"Los Angeles",22518272,c(-118.24673, 33.90965),20.1459006474382,34.3019597923043,13.4948618642116,20.6098078688626,16.8911710471611,141
"111","SMC01372_07132010_BMI_RWB_1","SMC01372","2010-07-13 00:00:00",2010,1,0.69977804,34.43437,-118.61386,"Los Angeles",17574585,c(-118.61386, 34.43437),23.6566101379992,31.9120152678851,13.1184235147211,17.0848419965859,12.9027775737819,28
"112","SMC01384_06292009_BMI_RWB_MCM_1","SMC01384","2009-06-29 00:00:00",2009,1,0.83864309,34.0646,-118.70091,"Los Angeles",20365093,c(-118.70091, 34.0646),19.8085344665881,31.8050686667693,11.2251035859795,18.9966337392156,15.0501384980349,25
"113","SMC01424_07012009_BMI_RWB_1","SMC01424","2009-07-01 00:00:00",2009,1,0.85080484,34.24075,-117.81585,"Los Angeles",22522841,c(-117.81585, 34.24075),25.0892523958694,32.7924251734008,12.7727085612362,16.8331415817765,13.8182324482478,104
"114","SMC01452_07152010_BMI_RWB_1","SMC01452","2010-07-15 00:00:00",2010,1,0.39719444,34.09095,-118.06675,"Los Angeles",22515818,c(-118.06675, 34.09095),23.2197075883513,34.2371024675354,14.1298362242443,19.0627868659627,14.847556581264,78
"115","SMC01454_07162012_BMI_RWB_1","SMC01454","2012-07-16 00:00:00",2012,1,0.72012533,33.95504,-117.86127,"Los Angeles",22525657,c(-117.86127, 33.95504),20.8249166696108,34.9813483495043,11.9471873152648,19.578499126089,16.1858514947543,82
"116","SMC01464_06072012_BMI_RWB_1","SMC01464","2012-06-07 00:00:00",2012,1,0.67314583,34.27516,-118.52666,"Los Angeles",22515786,c(-118.52666, 34.27516),23.5292224655157,34.2508863715528,12.351192327314,19.241415447489,16.0695384731845,141
"117","SMC01504_06282011_BMI_RWB_1","SMC01504","2011-06-28 00:00:00",2011,1,0.89382218,34.25327,-117.71385,"Los Angeles",22524645,c(-117.71385, 34.25327),23.6636218104549,26.5547937937034,9.58920338085057,12.8271349069953,9.37079187424131,0
"118","SMC01512_06232010_BMI_RWB_MCM_1","SMC01512","2010-06-23 00:00:00",2010,1,0.49016532,34.27641,-118.67252,"Ventura",17563922,c(-118.67252, 34.27641),22.7175186632061,34.3476605530847,12.6300656422883,20.6554085081907,15.9750041894251,72
"119","SMC01544_07142010_BMI_RWB_1","SMC01544","2010-07-14 00:00:00",2010,1,0.79765726,34.29729,-118.24843,"Los Angeles",22515726,c(-118.24843, 34.29729),22.5564379249824,28.7863378788583,11.3071851668929,15.46828120405,11.1707252977438,0
"120","SMC01550_06252009_BMI_RWB_1","SMC01550","2009-06-25 00:00:00",2009,1,0.64272318,34.05626,-118.84901,"Los Angeles",20365177,c(-118.84901, 34.05626),20.8829348522474,32.7499228411563,12.3998429083517,18.631925390468,15.1386572892768,52
"121","SMC01567_06092010_BMI_RWB_1","SMC01567","2010-06-09 00:00:00",2010,1,0.65199328,34.50959,-119.38373,"Ventura",17585756,c(-119.38373, 34.50959),23.6336770842154,31.0887881622374,11.7633534457816,16.9123314022953,12.8379138665073,29
"122","SMC01640_06292009_BMI_RWB_1","SMC01640","2009-06-29 00:00:00",2009,1,0.346945,34.15335,-118.69679,"Los Angeles",20364725,c(-118.69679, 34.15335),22.4555076842842,33.8654519180234,12.4894495421839,19.4422746459246,15.6332842307437,77
"123","SMC01656_06062012_BMI_RWB_1","SMC01656","2012-06-06 00:00:00",2012,1,0.68172027,34.15633,-118.53627,"Los Angeles",22514958,c(-118.53627, 34.15633),22.543800596031,35.3348467616195,12.2985635243157,19.3584238775209,16.7251173886605,142
"124","SMC01662_07092012_BMI_RWB_1","SMC01662","2012-07-09 00:00:00",2012,1,0.57627978,33.9248,-117.95665,"Orange",22525697,c(-117.95665, 33.9248),21.2935873926994,36.0918212753337,12.8044333758063,20.3088899123747,16.6544952729491,131
"125","SMC01684_06032009_BMI_RWB_1","SMC01684","2009-06-03 00:00:00",2009,1,0.33039193,34.27906,-118.91591,"Ventura",17563876,c(-118.91591, 34.27906),22.9852648823846,35.4849443030447,13.1688569062224,20.961375058786,16.7474931763176,120
"126","SMC01692_06202011_BMI_RWB_1","SMC01692","2011-06-20 00:00:00",2011,1,0.81120564,34.19798,-118.16972,"Los Angeles",948070459,c(-118.16972, 34.19798),23.5305010794816,30.9465937357124,11.9559610689019,16.4857930710251,12.9759356373574,22
"127","SMC01694_06282010_BMI_RWB_1","SMC01694","2010-06-28 00:00:00",2010,1,0.38926583,33.92,-117.90272,"Orange",22527375,c(-117.90272, 33.92),21.3709148422407,34.2671000186536,13.7427711542224,19.5189812782342,16.0150974498727,117
"128","SMC01716_06082010_BMI_RWB_1","SMC01716","2010-06-08 00:00:00",2010,1,0.41649646,34.2073,-118.49727,"Los Angeles",22515806,c(-118.49727, 34.2073),23.599130506391,35.3863548564016,13.8159054581187,20.2147966041323,16.0551561943647,128
"129","SMC01726_06302010_BMI_RWB_1","SMC01726","2010-06-30 00:00:00",2010,1,0.58888554,33.86351,-117.98816,"Orange",22525751,c(-117.98816, 33.86351),20.8326615348702,34.6621111697658,13.8646722251859,19.7995268395366,16.8342739999489,147
"130","SMC01748_05212014_BMI_RWB_1","SMC01748","2014-05-21 00:00:00",2014,1,0.6974281,34.28747,-118.82744,"Ventura",163864411,c(-118.82744, 34.28747),21.6697404919314,33.0587549979716,13.3862986603935,19.6724563375781,15.4498213387746,85
"131","SMC01748_06032009_BMI_RWB_1","SMC01748","2009-06-03 00:00:00",2009,1,0.72203098,34.28747,-118.82744,"Ventura",163864411,c(-118.82744, 34.28747),22.7979836018143,33.8581680627044,12.9528071702039,19.4407114821919,15.435642390674,73
"132","SMC01772_07112012_BMI_RWB_1","SMC01772","2012-07-11 00:00:00",2012,1,0.59650956,34.11001,-118.1228,"Los Angeles",22515008,c(-118.1228, 34.11001),22.5192574714678,36.4191577398544,13.0915916482252,19.7337746916895,16.5044551845559,147
"133","SMC01808_06132011_BMI_RWB_1","SMC01808","2011-06-13 00:00:00",2011,1,0.81225478,34.3094,-118.07316,"Los Angeles",22514400,c(-118.07316, 34.3094),22.5388265956685,26.3654385652576,8.90206901311281,13.4543843685436,10.0795083109629,0
"134","SMC01824_06212012_BMI_RWB_1","SMC01824","2012-06-21 00:00:00",2012,1,0.66701182,34.09116,-117.75598,"Los Angeles",22524751,c(-117.75598, 34.09116),22.2760337896677,34.3382933891331,11.9994034274014,18.3596378365785,15.7306567472691,119
"135","SMC01860_05282009_BMI_RWB_1","SMC01860","2009-05-28 00:00:00",2009,1,0.57650154,34.224,-118.97911,"Ventura",17564046,c(-118.97911, 34.224),22.7008980484907,35.2096261647692,13.3298169836777,20.3967601486679,16.477044698513,108
"136","SMC01902_07162012_BMI_RWB_1","SMC01902","2012-07-16 00:00:00",2012,1,0.64296695,34.01036,-117.85602,"Los Angeles",22523247,c(-117.85602, 34.01036),21.5699917101205,35.1017671994502,12.5002673072729,19.0403452583295,15.8670126692252,113
"137","SMC01912_07122012_BMI_RWB_1","SMC01912","2012-07-12 00:00:00",2012,1,0.39133775,34.23429,-118.60295,"Los Angeles",22515754,c(-118.60295, 34.23429),22.8308437955575,34.0220484614874,11.9142943010609,19.6312534277268,16.5296941424735,140
"138","SMC01960_05212014_BMI_RWB_1","SMC01960","2014-05-21 00:00:00",2014,1,0.58106484,34.26554,-118.75916,"Ventura",17564880,c(-118.75916, 34.26554),22.0583846057169,32.8295657618207,13.4323719059008,19.39719385592,15.3324425766426,85
"139","SMC01960_06232010_BMI_RWB_1","SMC01960","2010-06-23 00:00:00",2010,1,0.47304863,34.26554,-118.75916,"Ventura",17564880,c(-118.75916, 34.26554),22.8021637869666,34.122071468306,12.7373895320527,20.3515027269235,15.5294164597477,53
"140","SMC01972_06072010_BMI_RWB_1","SMC01972","2010-06-07 00:00:00",2010,1,0.421923,34.24018,-118.49564,"Los Angeles",22515806,c(-118.49564, 34.24018),23.599130506391,35.3863548564016,13.8159054581187,20.2147966041323,16.0551561943647,128
"141","SMC01979_07142011_BMI_RWB_1","SMC01979","2011-07-14 00:00:00",2011,1,0.98014538,34.45205,-119.13624,"Ventura",17572783,c(-119.13624, 34.45205),22.5010936274176,28.9941717733628,10.817149709903,15.0185346162004,12.2186689943307,0
"142","SMC01982_06252013_BMI_RWB_1","SMC01982","2013-06-25 00:00:00",2013,1,0.43019829,33.91694,-118.03836,"Los Angeles",22524963,c(-118.03836, 33.91694),22.0904848360772,36.0601454125278,14.1124486050865,21.9476968074413,17.2621359154401,147
"143","SMC02028_07122012_BMI_RWB_1","SMC02028","2012-07-12 00:00:00",2012,1,0.65933368,34.12868,-118.16553,"Los Angeles",22515822,c(-118.16553, 34.12868),22.707920446635,34.0296138692182,12.9495718434367,17.3693548697584,14.2286077971617,61
"144","SMC02075_07172012_BMI_RWB_MCM_1","SMC02075","2012-07-17 00:00:00",2012,1,0.84873387,34.6719,-119.03758,"Ventura",17567333,c(-119.03758, 34.6719),23.0144530305872,26.571725218813,9.94899403836025,14.5207571083935,9.32008270692489,0
"145","SMC02088_06142011_BMI_RWB_1","SMC02088","2011-06-14 00:00:00",2011,1,0.81483517,34.30226,-118.25959,"Los Angeles",22514456,c(-118.25959, 34.30226),22.8093576902168,28.0420569152048,10.3028199116323,14.2609910017381,11.3249844867602,0
"146","SMC02092_06142011_BMI_RWB_1","SMC02092","2011-06-14 00:00:00",2011,1,0.83646287,34.27948,-118.20684,"Los Angeles",22514594,c(-118.20684, 34.27948),22.6181408910058,27.5463260845156,9.991610354765,14.0076643402797,11.0561087556875,0
"147","SMC02127_05192014_BMI_RWB_1","SMC02127","2014-05-19 00:00:00",2014,1,0.80955149,34.42318,-119.26474,"Ventura",17586736,c(-119.26474, 34.42318),22.9485099013468,32.8287679973051,13.4633354332671,19.075536966802,14.8259750098649,81
"148","SMC02127_06042009_BMI_RWB_1","SMC02127","2009-06-04 00:00:00",2009,1,0.83376173,34.42318,-119.26474,"Ventura",17586736,c(-119.26474, 34.42318),23.6425243281689,33.3315496872193,12.9637622064205,18.6592377125966,14.5599140698248,64
"149","SMC02152_07142010_BMI_RWB_1","SMC02152","2010-07-14 00:00:00",2010,1,0.58332089,34.09801,-118.7217,"Los Angeles",20364957,c(-118.7217, 34.09801),21.0785141485655,33.6892438870728,12.7648988235726,20.190010479119,15.6978960869015,45
"150","SMC02174_05292013_BMI_RWB_1","SMC02174","2013-05-29 00:00:00",2013,1,0.36639968,34.00511,-117.96922,"Los Angeles",22523261,c(-117.96922, 34.00511),22.1772675809864,35.5837694694407,13.6473272644944,21.9364422049463,16.9401490699767,146
"151","SMC02206_07192011_BMI_RWB_1","SMC02206","2011-07-19 00:00:00",2011,1,0.51959223,33.87098,-117.85002,"Orange",22527369,c(-117.85002, 33.87098),20.8101313161784,33.3602556439069,13.1137161216772,19.8399098098051,15.8500648223959,114
"152","SMC02208_05292013_BMI_RWB_1","SMC02208","2013-05-29 00:00:00",2013,1,0.60759631,34.12835,-117.77484,"Los Angeles",22524733,c(-117.77484, 34.12835),23.0433316535668,34.5928194081471,12.7713037448087,21.3232621883725,15.9130155265984,129
"153","SMC02228_06232009_BMI_RWB_1","SMC02228","2009-06-23 00:00:00",2009,1,0.67332119,34.06933,-118.22427,"Los Angeles",22515036,c(-118.22427, 34.06933),23.2974727407838,32.605771381562,14.5507347963793,16.4744758628815,12.4465213767815,27
"154","SMC02232_06032013_BMI_RWB_1","SMC02232","2013-06-03 00:00:00",2013,1,0.24836081,34.23241,-118.5524,"Los Angeles",22514716,c(-118.5524, 34.23241),23.5800113568632,36.3136917684976,13.1737028688384,21.6340244723341,16.6634198112854,143
"155","SMC02284_05292013_BMI_RWB_1","SMC02284","2013-05-29 00:00:00",2013,1,0.41831319,34.06542,-117.94939,"Los Angeles",22523205,c(-117.94939, 34.06542),23.1696955706137,34.6342585439571,13.9601238161502,20.6741347278069,15.3882504450114,134
"156","SMC02302_07152013_BMI_RWB_1","SMC02302","2013-07-15 00:00:00",2013,1,0.19608501,33.8153,-118.04128,"Orange",22524989,c(-118.04128, 33.8153),21.1840405056689,34.6628064675929,14.0124307675256,20.6503757000673,16.400313144015,145
"157","SMC02366_06232014_BMI_RWB_1","SMC02366","2014-06-23 00:00:00",2014,1,0.3500228,33.84684,-118.14043,"Los Angeles",22525197,c(-118.14043, 33.84684),20.8471164645975,34.3646129426293,14.0651736022639,19.9456074219832,16.7992872440483,144
"158","SMC02680_06032014_BMI_RWB_MCM_1","SMC02680","2014-06-03 00:00:00",2014,1,0.43914711,34.19531,-118.59356,"Los Angeles",22514854,c(-118.59356, 34.19531),23.364891469068,34.9023928587732,14.0815818190759,20.3435280677028,16.3876513983371,142
"159","SMC02712_06072012_BMI_RWB_1","SMC02712","2012-06-07 00:00:00",2012,1,0.98406732,34.36179,-118.30348,"Los Angeles",22514124,c(-118.30348, 34.36179),21.9595286141381,26.8309785067215,9.30268267923882,16.1240830537041,10.9438974842796,0
"160","SMC02718_06302014_BMI_RWB_1","SMC02718","2014-06-30 00:00:00",2014,1,0.46536244,33.88936,-117.88771,"Orange",22525749,c(-117.88771, 33.88936),23.6582414582819,37.2392196679897,14.8305459222798,22.2702944452653,17.2306858789145,147
"161","SMC02796_06182013_BMI_RWB_MCM_1","SMC02796","2013-06-18 00:00:00",2013,1,0.298258,34.08397,-118.08632,"Los Angeles",22515016,c(-118.08632, 34.08397),23.1044237919665,36.5678107556418,14.0530898610781,22.5147208945637,17.1705308949832,147
"162","SMC02804_06202011_BMI_RWB_MCM_1","SMC02804","2011-06-20 00:00:00",2011,1,0.69656212,34.14534,-118.40866,"Los Angeles",22515812,c(-118.40866, 34.14534),22.2009333943638,33.7503374144397,12.9795056200883,19.5368121178294,15.7594521751569,113
"163","SMC02884_05272014_BMI_RWB_1","SMC02884","2014-05-27 00:00:00",2014,1,0.63261866,34.21749,-118.98533,"Ventura",17564052,c(-118.98533, 34.21749),22.1452706324757,34.7624129399154,14.1411915386685,20.6212214012469,16.3490782808114,124
"164","SMC02884_06232010_BMI_RWB_1","SMC02884","2010-06-23 00:00:00",2010,1,0.58112442,34.21749,-118.98533,"Ventura",17564052,c(-118.98533, 34.21749),21.9957140449991,35.0876453194447,13.3856819970885,21.1490192110225,16.3856491058447,99
"165","SMC02936_06182013_BMI_RWB_1","SMC02936","2013-06-18 00:00:00",2013,1,0.4596754,34.1859,-118.6421,"Los Angeles",22514896,c(-118.6421, 34.1859),22.4408534738734,36.0539841041979,12.6128741637535,21.9116886937727,17.1493532729302,141
"166","SMC02972_07182012_BMI_RWB_1","SMC02972","2012-07-18 00:00:00",2012,1,1.06342383,34.24957,-118.0755,"Los Angeles",22521699,c(-118.0755, 34.24957),20.2800211600486,25.1471456107138,7.89791987379336,15.8208902298322,10.5291686206326,0
"167","SMC02976_07252014_BMI_RWB_1","SMC02976","2014-07-25 00:00:00",2014,1,0.99891401,34.2579,-117.75661,"Los Angeles",22524613,c(-117.75661, 34.2579),22.2387633510341,24.6432109279643,10.7908396384786,12.801725534362,8.29759544235694,0
"168","SMC02976_07272010_BMI_RWB_1","SMC02976","2010-07-27 00:00:00",2010,1,0.93161458,34.2579,-117.75661,"Los Angeles",22524613,c(-117.75661, 34.2579),22.4726266948932,25.5587427399951,10.4929501642711,12.8177938753614,8.4684270378384,0
"169","SMC02984_06232010_BMI_RWB_1","SMC02984","2010-06-23 00:00:00",2010,1,0.54330395,34.26528,-118.75053,"Ventura",17564880,c(-118.75053, 34.26528),22.8021637869666,34.122071468306,12.7373895320527,20.3515027269235,15.5294164597477,53
"170","SMC02988_06122014_BMI_RWB_MCM_1","SMC02988","2014-06-12 00:00:00",2014,1,0.63992114,34.16168,-117.99022,"Los Angeles",22517996,c(-117.99022, 34.16168),24.3363374175307,33.9026954623134,14.5616411149177,19.3410543473957,14.4081280387461,122
"171","SMC02996_06112014_BMI_RWB_MCM_1","SMC02996","2014-06-11 00:00:00",2014,1,0.48512166,34.22108,-118.42296,"Los Angeles",22514962,c(-118.42296, 34.22108),24.0133015394297,31.7472614248798,14.6314800766467,16.5928583594233,12.1967182412944,28
"172","SMC03216_07272011_BMI_RWB_1","SMC03216","2011-07-27 00:00:00",2011,1,0.96023231,34.28092,-117.84093,"Los Angeles",22522679,c(-117.84093, 34.28092),21.9884164896583,24.8637267576601,8.23967426843504,12.5800235833209,9.06552216882825,0
"173","SMC03268_05272014_BMI_RWB_1","SMC03268","2014-05-27 00:00:00",2014,1,0.60345489,34.16255,-119.06301,"Ventura",17562684,c(-119.06301, 34.16255),20.7903115827447,32.3788613169316,14.3069547518697,18.061737883326,14.6478311297526,59
"174","SMC03268_05282009_BMI_RWB_1","SMC03268","2009-05-28 00:00:00",2009,1,0.6951321,34.16255,-119.06301,"Ventura",17562684,c(-119.06301, 34.16255),20.9700116048823,32.7528219507034,13.2922613830367,17.8796097556319,14.874739235126,44
"175","SMC03280_08112011_BMI_RWB_1","SMC03280","2011-08-11 00:00:00",2011,1,0.92072935,34.25685,-117.85652,"Los Angeles",22524631,c(-117.85652, 34.25685),23.9364379116891,28.6107516707861,10.3548554595517,14.3961756424397,11.1417062244037,0
"176","SMC03304_06292011_BMI_RWB_1","SMC03304","2011-06-29 00:00:00",2011,1,0.5916787,34.28829,-118.72312,"Ventura",17563950,c(-118.72312, 34.28829),21.5091819258404,31.5071857915509,11.2211203836303,18.8331363195462,15.3449765873221,62
"177","SMC03390_06282008_BMI_RWB_MCM_1","SMC03390","2008-06-28 00:00:00",2008,1,0.26804258,33.82267,-118.09186,"Los Angeles",22525157,c(-118.09186, 33.82267),22.4552290565695,31.3516886246734,14.1627747482765,17.1847552970164,11.8090875594763,15
"178","SMC03438_07022012_BMI_RWB_1","SMC03438","2012-07-02 00:00:00",2012,1,0.8410973,33.93708,-117.79252,"Orange",22525681,c(-117.79252, 33.93708),20.7843799946692,34.3900776612158,11.6713514797495,19.0316532906885,15.8069567324425,76
"179","SMC03452_06132012_BMI_RWB_1","SMC03452","2012-06-13 00:00:00",2012,1,1.06858148,34.30354,-117.8323,"Los Angeles",22522623,c(-117.8323, 34.30354),23.0235356022432,25.2208054604276,9.19552634263003,14.4509752700196,8.34877499628139,0
"180","SMC03646_06052013_BMI_RWB_1","SMC03646","2013-06-05 00:00:00",2013,1,0.59013965,33.9784,-118.1691,"Los Angeles",22518268,c(-118.1691, 33.9784),22.5644774536095,32.212227997,14.8848031654548,17.3274248315452,12.7998436366234,58
"181","SMC03944_07122010_BMI_RWB_1","SMC03944","2010-07-12 00:00:00",2010,1,0.42213267,34.14255,-118.75224,"Ventura",20365885,c(-118.75224, 34.14255),21.8912103296355,34.3174537521245,12.7381837828803,20.6679679944781,15.9096039427175,51
"182","SMC03944_07122010_BMI_RWB_1","SMC03944","2010-07-12 00:00:00",2010,1,0.42213267,34.14255,-118.75224,"Los Angeles",20365885,c(-118.75224, 34.14255),21.8912103296355,34.3174537521245,12.7381837828803,20.6679679944781,15.9096039427175,51
"183","SMC03984_06182012_BMI_RWB_1","SMC03984","2012-06-18 00:00:00",2012,1,0.72810586,34.24613,-117.90186,"Los Angeles",22522803,c(-117.90186, 34.24613),25.2105325598018,30.4014971551133,11.710694474017,17.2918672754745,11.7493318991431,7
"184","SMC03988_06292011_BMI_RWB_1","SMC03988","2011-06-29 00:00:00",2011,1,0.93325503,34.21322,-118.89766,"Ventura",17564074,c(-118.89766, 34.21322),20.3687494155754,32.6968913078852,11.652929530017,20.4362507925027,16.7381240173194,106
"185","SMC04000_07302012_BMI_RWB_1","SMC04000","2012-07-30 00:00:00",2012,1,1.0112391,34.23282,-117.74777,"Los Angeles",22524653,c(-117.74777, 34.23282),25.5547441505398,29.259558997208,11.4445737259056,16.2889435379929,10.3683157902056,0
"186","SMC04008_06192012_BMI_RWB_1","SMC04008","2012-06-19 00:00:00",2012,1,0.87703636,34.28342,-118.80803,"Ventura",948070571,c(-118.80803, 34.28342),22.2803292613965,33.2778658329708,12.3063860822771,18.2013775517073,15.6226118122236,97
"187","SMC04047_05142009_BMI_RWB_1","SMC04047","2009-05-14 00:00:00",2009,1,0.63952298,34.45832,-119.29171,"Ventura",17586578,c(-119.29171, 34.45832),24.3840443042751,31.6338474157248,13.0574407574584,16.2389584861991,12.4660028173212,30
"188","SMC04132_06112012_BMI_RWB_1","SMC04132","2012-06-11 00:00:00",2012,1,0.65834224,34.21472,-118.88416,"Ventura",17564924,c(-118.88416, 34.21472),21.2983768470665,33.9659014898413,12.0646605527836,18.978185776769,16.6982183682413,116
"189","SMC04175_06112009_BMI_RWB_1","SMC04175","2009-06-11 00:00:00",2009,1,0.88975609,34.40835,-119.27642,"Ventura",17586810,c(-119.27642, 34.40835),23.2185068474997,33.3829426087002,12.9203359782271,18.8941756404599,14.7372712202763,57
"190","SMC04239_06112009_BMI_RWB_1","SMC04239","2009-06-11 00:00:00",2009,1,0.89182618,34.3608,-119.31114,"Ventura",17587720,c(-119.31114, 34.3608),22.0269861847231,31.4996344675924,12.7843165052854,17.2501461147197,13.1842030993746,24
"191","SMC04264_07092010_BMI_RWB_1","SMC04264","2010-07-09 00:00:00",2010,1,0.54788523,34.13,-118.7548,"Los Angeles",20364815,c(-118.7548, 34.13),21.3122522651085,34.045572866106,12.4298557258271,20.7446196643996,15.9843975895404,38
"192","SMC04308_06172009_BMI_RWB_1","SMC04308","2009-06-17 00:00:00",2009,1,0.7900255,34.19349,-118.9083,"Ventura",17564110,c(-118.9083, 34.19349),22.3006211812752,34.6079216958454,12.6927654196281,20.2217274908823,16.311849904243,102
"193","SMC04383_05192014_BMI_RWB_1","SMC04383","2014-05-19 00:00:00",2014,1,0.80530492,34.50224,-119.35602,"Ventura",17585808,c(-119.35602, 34.50224),23.2214578118614,30.0327475231851,13.0158747586295,16.1684656636439,12.2358458236147,7
"194","SMC04383_06092010_BMI_RWB_1","SMC04383","2010-06-09 00:00:00",2010,1,0.9512041,34.50224,-119.35602,"Ventura",17585808,c(-119.35602, 34.50224),23.1264779054425,30.191884312493,11.5334661138221,16.1688292661937,12.2380607361758,11
"195","SMC04399_06112009_BMI_RWB_1","SMC04399","2009-06-11 00:00:00",2009,1,0.74411617,34.30796,-119.30062,"Ventura",17586972,c(-119.30062, 34.30796),21.0343735503612,31.3711984768434,13.0106158820985,16.8011888002052,13.2530341014443,24
"196","SMC04524_07092013_BMI_RWB_1","SMC04524","2013-07-09 00:00:00",2013,1,1.15234305,34.24761,-118.03367,"Los Angeles",22520983,c(-118.03367, 34.24761),21.725505510087,28.8177265242811,9.54327451703507,17.1724446394886,11.5110664590747,0
"197","SMC04532_07112012_BMI_RWB_1","SMC04532","2012-07-11 00:00:00",2012,1,0.67852907,34.15595,-118.28771,"Los Angeles",22514960,c(-118.28771, 34.15595),22.9064937494573,33.2395549728653,13.2955986826832,16.054597167067,13.1494493335479,28
"198","SMC04600_07082014_BMI_RWB_1","SMC04600","2014-07-08 00:00:00",2014,1,0.8522617,34.39728,-118.7105,"Ventura",17574717,c(-118.7105, 34.39728),23.3990834356078,30.6471101359932,14.4730625401652,15.6118996761123,12.0365981799229,30
"199","SMC04670_06262008_BMI_RWB_MCM_1","SMC04670","2008-06-26 00:00:00",2008,1,0.27262122,33.86506,-118.10456,"Los Angeles",22525157,c(-118.10456, 33.86506),22.4552290565695,31.3516886246734,14.1627747482765,17.1847552970164,11.8090875594763,15
"200","SMC04748_07022009_BMI_RWB_1","SMC04748","2009-07-02 00:00:00",2009,1,0.65455248,34.41314,-118.65879,"Los Angeles",17574649,c(-118.65879, 34.41314),24.7205960106708,31.68949289591,14.1030345673903,15.4915244515922,11.769299717233,27
"201","SMC04750_07052011_BMI_RWB_1","SMC04750","2011-07-05 00:00:00",2011,1,1.012112,34.041,-118.58149,"Los Angeles",20365153,c(-118.58149, 34.041),18.5453539091371,30.2618761756463,11.1715229690725,18.3588911615121,15.1788827751693,14
"202","SMC04756_05212014_BMI_RWB_1","SMC04756","2014-05-21 00:00:00",2014,1,0.65389366,34.27092,-118.9269,"Ventura",17563904,c(-118.9269, 34.27092),22.1058922302152,33.6010550992266,13.8565627781409,19.6867571324431,15.3776111886877,88
"203","SMC04756_07072010_BMI_RWB_1","SMC04756","2010-07-07 00:00:00",2010,1,0.55635317,34.27092,-118.9269,"Ventura",17563904,c(-118.9269, 34.27092),22.4180792190412,34.143175656505,13.0773067196747,20.4287833925195,15.5370580128771,66
"204","SMC04795_07142011_BMI_RWB_1","SMC04795","2011-07-14 00:00:00",2011,1,0.97055379,34.47989,-119.17067,"Ventura",17586496,c(-119.17067, 34.47989),22.3047066910026,28.9467025743725,10.2748589412343,15.164474790016,12.4344416968078,0
