"","sampleid","masterid","sampledate","year","fieldreplicate","csci","latitude","longitude","county","COMID","geometry","Max_Wkly_Mean_StreamT","Max_Wkl_Max_StreamT","Min_Wkl_Min_StreamT","Max_Wkl_Rng_StreamT","Mean_Wkl_Rng_StreamT","Max_Wkl_Max_StreamT_grt_30_"
"15","ME-CC_07072011_BMI_RWB_MCM_1","ME-CC","2011-07-07 00:00:00",2011,1,0.69632051,34.17912,-119.03968,"Ventura",17562626,c(-119.03968, 34.17912),19.8913738625293,31.9736629781751,12.8378643215043,18.685628765079,14.9754964404429,43
"16","ME-CC_07122010_BMI_RWB_1","ME-CC","2010-07-12 00:00:00",2010,1,0.42181923,34.17912,-119.03968,"Ventura",17562626,c(-119.03968, 34.17912),21.014153209906,33.3282651617102,13.5607370969924,19.2535834928744,15.0066970459305,29
"17","ME-VR2_06202012_BMI_RWB_1","ME-VR2","2012-06-20 00:00:00",2012,1,0.81724308,34.34584,-119.29948,"Ventura",948070372,c(-119.29948, 34.34584),19.2591323901355,30.3885444093026,11.6094012339223,16.6011349823998,13.4113247155396,7
"18","ME-VR2_06242013_BMI_RWB_1","ME-VR2","2013-06-24 00:00:00",2013,1,0.84721424,34.34584,-119.29948,"Ventura",948070372,c(-119.29948, 34.34584),20.0883603654206,30.2269770340297,12.3912141574494,17.8357628765803,13.99937187022,14
"19","ME-VR2_07062011_BMI_RWB_1","ME-VR2","2011-07-06 00:00:00",2011,1,0.86286148,34.34584,-119.29948,"Ventura",948070372,c(-119.29948, 34.34584),19.3930926118935,29.027399621081,11.4646003815722,16.9022463762206,13.2785959006669,0
"20","ME-VR2_07072010_BMI_RWB_1","ME-VR2","2010-07-07 00:00:00",2010,1,0.62780574,34.34584,-119.29948,"Ventura",948070372,c(-119.29948, 34.34584),20.3780404683455,30.6183346700849,12.5005715699914,17.8416804520364,13.3450301477404,4
"21","SGLT506_06182012_BMI_RWB_1","SGLT506","2012-06-18 00:00:00",2012,1,0.57152394,34.06173,-117.99129,"Los Angeles",22524847,c(-117.99129, 34.06173),22.3875830754505,35.0674634989611,13.3004834696489,18.3344033798426,15.0051818761422,99
"22","SGLT506_06242014_BMI_RWB_1","SGLT506","2014-06-24 00:00:00",2014,1,0.58653755,34.06173,-117.99129,"Los Angeles",22524847,c(-117.99129, 34.06173),23.9024999965711,35.20750520538,14.990718221092,20.2167869842881,15.1885325006846,128
"23","SGUR103_05152014_BMI_RWB_1","SGUR103","2014-05-15 00:00:00",2014,1,1.11188534,34.23218,-118.05822,"Los Angeles",22520987,c(-118.05822, 34.23218),19.3876052481082,25.2137876361014,9.02101420997057,15.1500021036197,10.7551664487331,0
"24","SGUR103_07102013_BMI_RWB_1","SGUR103","2013-07-10 00:00:00",2013,1,1.20654311,34.23218,-118.05822,"Los Angeles",22520987,c(-118.05822, 34.23218),19.6157637031817,26.6190492243717,8.00189775847497,16.6677216349117,10.9881782676297,0
"25","SGUR103_07182012_BMI_RWB_1","SGUR103","2012-07-18 00:00:00",2012,1,1.08769347,34.23218,-118.05822,"Los Angeles",22520987,c(-118.05822, 34.23218),20.1573359763928,25.3014052657832,7.87423084095743,16.0097932024288,10.7694572611393,0
"26","SGUR103_07222010_BMI_RWB_1","SGUR103","2010-07-22 00:00:00",2010,1,0.98238787,34.23218,-118.05822,"Los Angeles",22520987,c(-118.05822, 34.23218),19.0267001518915,25.5969711782608,8.75972905108713,15.2014215787195,10.8672264649593,0
"27","SGUR103_08032011_BMI_RWB_1","SGUR103","2011-08-03 00:00:00",2011,1,1.11616389,34.23218,-118.05822,"Los Angeles",22520987,c(-118.05822, 34.23218),19.0798804203202,24.5893601129961,7.10614269884858,13.9122985297544,10.9334934933178,0
"28","SGUT501_06192012_BMI_RWB_1","SGUT501","2012-06-19 00:00:00",2012,1,1.26181913,34.24092,-117.88449,"Los Angeles",22524629,c(-117.88449, 34.24092),24.5898089189732,28.9031016961142,11.0670045873908,16.413721531604,10.8197828750515,0
"29","SGUT501_06262014_BMI_RWB_1","SGUT501","2014-06-26 00:00:00",2014,1,1.12993895,34.24092,-117.88449,"Los Angeles",22524629,c(-117.88449, 34.24092),23.3939153141598,28.2386527438326,11.9902092098536,15.513773954299,10.8433304682958,0
"30","SGUT502_05272010_BMI_RWB_1","SGUT502","2010-05-27 00:00:00",2010,1,0.8715637,34.2283,-117.76593,"Los Angeles",22522881,c(-117.76593, 34.2283),22.3215059403896,27.8298363229951,10.9765480274157,15.0461430934263,10.6208202901385,0
