Site,R2,PVal,n,Stream Type,R2,PVal,n
Benedict,0.28,<0.01,103,Vegetated,0.25,<0.001,498
Burbank,0.21,<0.01,62,,,,
Steelhead,0.25,0.01,103,,,,
Compton,0.09,<0.01,78,Concrete,0.00,0.92,133
Rattlesnake,0.25,0.13,230,,,,
Riverfront,0.16,<0.01,16,,,,
Willow,0.20,<0.01,39,,,,
